,Unnamed: 0,date,id_station,min_entre,max_entre,min_exit,max_exit,check_day,station_t,remote_unit,c/a,total_entries,total_exits,sanity_check,weird_value_check
28158,28158,12-31-13,PTH06_R546_00-00-00,79886.0,297934.0,14939.0,502723.0,False,PTH06_R546,R546,PTH06,218048.0,487784.0,False,True
28430,28430,12-31-13,R186_R036_00-00-02,58880.0,9889437.0,7287.0,2563189.0,False,R186_R036,R036,R186,9830557.0,2555902.0,False,True
27189,27189,01-01-13,R175_R169_01-00-03,671114357.0,671114528.0,-13163838.0,-13163107.0,True,R175_R169,R169,R175,171.0,731.0,True,False
29704,29704,01-01-13,R175_R169_01-00-04,604008961.0,604009113.0,-872279387.0,-872278311.0,True,R175_R169,R169,R175,152.0,1076.0,True,False
29898,29898,01-01-13,R249_R179_01-00-04,906041288.0,906041882.0,-878964986.0,-878964488.0,True,R249_R179,R179,R249,594.0,498.0,True,False
27037,27037,12-31-13,A069_R044_01-06-01,743486686.0,743487086.0,-807332245.0,-807328304.0,False,A069_R044,R044,A069,400.0,3941.0,True,False
27667,27667,12-31-13,N208_R443_01-05-01,916848676.0,916848676.0,-87387100.0,-87387100.0,False,N208_R443,R443,N208,0.0,0.0,True,False
27681,27681,12-31-13,N213_R154_00-06-01,-23188668.0,-23188668.0,771327765.0,771328155.0,False,N213_R154,R154,N213,0.0,390.0,True,False
27838,27838,12-31-13,N342_R019_01-03-02,-291778036.0,-291777887.0,308285051.0,308285407.0,False,N342_R019,R019,N342,149.0,356.0,True,False
28412,28412,12-31-13,R175_R169_01-00-04,604204042.0,604204349.0,-871390693.0,-871389276.0,False,R175_R169,R169,R175,307.0,1417.0,True,False
28495,28495,12-31-13,R206_R014_02-05-01,-931476881.0,-931476881.0,-325713713.0,-325713713.0,False,R206_R014,R014,R206,0.0,0.0,True,False
31017,31017,12-31-13,R249_R179_01-00-04,906422286.0,906423366.0,-878411195.0,-878409905.0,False,R249_R179,R179,R249,1080.0,1290.0,True,False
31131,31131,12-31-13,R423_R429_00-05-01,-326564096.0,-326564096.0,665011458.0,665011459.0,False,R423_R429,R429,R423,0.0,1.0,True,False
